event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
9681863-5,9681863,0x8a07f190b4ff733b19cdfc05619d94f606e490ea86808cd8d96fb2afc0f5c980,5,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
9678781-3,9678781,0xda3c7b123c6a79cbc286672344f409ca498b53ed31ae4646d99990f2a8ec049c,3,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
9663922-7,9663922,0xfc3cba2768b227b0a84278d6ba0bce91ff4f4d26015a1d2aa844546a27aa92b1,7,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
9663331-4,9663331,0xc1e4263fc1b855acbd5d2f00e10b12ae0de0c9054131624e3ad5609feb8d696a,4,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
9663101-2,9663101,0xbdce5dde0d1be8d287f0573b929dab6c926858077ef7fbab66d23dba2d378a7b,2,council,Voted,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
9663095-2,9663095,0x14a1a3907c0939afe01bddd60eff4574578b57f538d1bd9732a9b69d7306581a,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
9651285-2,9651285,0x6d3417aa5fa02e00458435c1547a4c17855457aa9b0242553c42ff0b459159b2,2,council,Closed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
9651285-2,9651285,0x6d3417aa5fa02e00458435c1547a4c17855457aa9b0242553c42ff0b459159b2,2,council,Approved,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
9651285-2,9651285,0x6d3417aa5fa02e00458435c1547a4c17855457aa9b0242553c42ff0b459159b2,2,council,Executed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
9651283-10,9651283,0xf26596ae564abe34f6e8273798e522d73a5e0ca3069effb5e6bd43faa01db3d4,10,council,Voted,HyBryanRsB1GGKa9ZfqvRc3XpTDipYyRvxNNyZYfWFcenhd
