event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
9652056-0,9652056,,0,democracy,PreimageUsed,
9669582-2,9669582,0x05f99b84123f01066fb26cc8e5cdb6be14e6220a7cc4a41b75b5448daaeafafa,2,democracy,Delegated,HMaTJbeYonb2SoT7ek1sjrtkkKaor7j3yy2VUbj6FDokPXr
9652056-0,9652056,,0,democracy,Executed,
9669702-2,9669702,0xf8bb31d585ae044c25ba7f3998dd4b161c3069be084cd8bb1e5aa0ecca640e84,2,democracy,Delegated,HMATevKkCxh3Z4gDJuqeB19ckmoxXN7RH7dfSPq1HhciX77
9651756-0,9651756,,0,democracy,Passed,
9651372-0,9651372,,0,democracy,PreimageUsed,
9651372-0,9651372,,0,democracy,Executed,
9651352-0,9651352,,0,democracy,Passed,
9651354-7,9651354,0xfbd07379cf0a7691613fc5b5361c6715aa87a0fb3155af8052d71e9db35b3efb,7,democracy,PreimageNoted,EAZbMxUvCqL7kXcUZeG5B6R3tjgmEpWsm53kPejVz2zJGjq
9651178-0,9651178,,0,democracy,PreimageUsed,
9651332-8,9651332,0xb8532d562e51a8369a61dc83388b6f6fe53316acd025864226862e82f50122c2,8,democracy,Started,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
9651178-0,9651178,,0,democracy,Executed,
9651168-0,9651168,,0,democracy,Passed,
9651173-4,9651173,0x060d9d79f5aa42552fa0ee5cf29e7813a8a62fb0e89c5181f06dd6992a5189e6,4,democracy,PreimageNoted,EAZbMxUvCqL7kXcUZeG5B6R3tjgmEpWsm53kPejVz2zJGjq
9651084-0,9651084,,0,democracy,PreimageMissing,
9651074-0,9651074,,0,democracy,Passed,
9651158-3,9651158,0x853cdf2f8c9fc1fdeb66ae24bc39a76324e2f7d93d02725ff6e6ccfbaffe388c,3,democracy,Started,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
9650976-0,9650976,,0,democracy,PreimageMissing,
9651064-2,9651064,0x6c2f683841d55e2765664739028587f8b5d64ad36edd072e7895c5fe56d4141b,2,democracy,Started,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
9650966-0,9650966,,0,democracy,Passed,
9649956-2,9649956,0xeddcd7bdc4c629dd7d9a3eba1e67d208ae06d08ab001449a733165837db1dbf5,2,democracy,Started,FhLMxxkXxfgRRnv8hyRbNkpUMZ9umASMsRmKpZruVayaqhL
9638960-0,9638960,,0,democracy,PreimageUsed,
9650956-2,9650956,0x92f097cfd8ca03be26891f2460dc5175003b12f3e1d47a038b6553d90e0b6b62,2,democracy,Started,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
9648836-3,9648836,0xb1b77cb4000f74611189895e99e35f05d4fe6872ffc9b170dcd44a0e44d11b0d,3,democracy,PreimageNoted,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
9638960-0,9638960,,0,democracy,Executed,
9638660-0,9638660,,0,democracy,Passed,
9636155-0,9636155,,0,democracy,PreimageUsed,
9636155-0,9636155,,0,democracy,Executed,
9636150-0,9636150,,0,democracy,Passed,
9625129-0,9625129,,0,democracy,PreimageUsed,
9636120-2,9636120,0x552b9744c41cc44ee39e03cd1d53a206403ff0232e7f22e218e475674b2f4976,2,democracy,Started,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
9636860-3,9636860,0xe49c2b62a4578af646d231ef9ec02427987ab0fa3e3f5cbeedb0dcfd5288b3b6,3,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
9625129-0,9625129,,0,democracy,Executed,
9636087-2,9636087,0xa405e0cf8c30c133d79f22240026bfb512d9666dcae7db10d683fdbeb32abed9,2,democracy,PreimageNoted,FhLMxxkXxfgRRnv8hyRbNkpUMZ9umASMsRmKpZruVayaqhL
9624829-0,9624829,,0,democracy,Passed,
9621150-0,9621150,,0,democracy,PreimageMissing,
9620850-0,9620850,,0,democracy,Passed,
9611377-0,9611377,,0,democracy,PreimageUsed,
9637047-4,9637047,0x52da54955734e35690f7ba1481eb68e865c9778e8b888f9f42b5bceb6c1df3d4,4,democracy,PreimageNoted,
9623029-2,9623029,0x5ebc25ee8a66f396fca82ff1a8fc8b10bcd7684a76c48de791018f9c5c37b9aa,2,democracy,Started,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
9611377-0,9611377,,0,democracy,Executed,
9610777-0,9610777,,0,democracy,Passed,
9624840-2,9624840,0x8394f3ea83ea70e7bacd8687f775125cb24ef2463872f8f57223813ff854635c,2,democracy,PreimageNoted,
9563250-2,9563250,0x57ef630176c82f514a9c3cdc9e60082a4e343661c887b1863d3f6e825d3ed74f,2,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
9557047-2,9557047,0x32f7e1f858058fb2377418e7979ba7c6bd07c393baa02787a7b30f818144f9d1,2,democracy,Delegated,CbaNLeJQ8e8aCJMTLa9euDKuTDmnT5oPmGFt4AmuvXmYFGN
9520281-2,9520281,0x854e68d417c4454073ec0fe904f63878c5b3fbd3d3b9b630b65ee1b37b1c5094,2,democracy,Delegated,J11Rp4mjz3vRb2DL51HqRGRjhuEQRyXgtuFskebXb8zMZ9s
9525244-2,9525244,0x92a23b7b71107aaf8ee49e59ed0a55a354b1112f5b3628e86572089046d1ff5a,2,democracy,Delegated,CsKvJ4fdesaRALc5swo5iknFDpop7YUwKPJHdmUvBsUcMGb
9610815-3,9610815,0xdb168aedd501013fdcb6ca73be49441cc677f943dfd23bddd16d46fd3cbc6b28,3,democracy,PreimageNoted,
9449614-3,9449614,0x409f5aa848f6022f6708f9252a7700a73fd469f4111722a918de39789402c7eb,3,democracy,Delegated,GnL41mJJJTp9npr1W9wLMzEfFL4thqyjPt6hwxLirmJt5vQ
9444038-4,9444038,0xfd98633197fc987de2b219413c6db43c835f951322790142da26ea053030d542,4,democracy,PreimageNoted,GnL41mJJJTp9npr1W9wLMzEfFL4thqyjPt6hwxLirmJt5vQ
9510208-4,9510208,0x75cc835269ca0ca5be9560a2becd253b99bcf74cef4846f2369aff7ca89c69fa,4,democracy,Delegated,J11Rp4mjz3vRb2DL51HqRGRjhuEQRyXgtuFskebXb8zMZ9s
