event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
9676800-0,9676800,,0,society,CandidateSuspended,
9676800-0,9676800,,0,society,MemberSuspended,
9676800-0,9676800,,0,society,Challenged,
9676800-0,9676800,,0,society,Deposit,
9676311-3,9676311,0x6aefe4598aacb18ac8fd2a019f24c18ef2ac587bace120321c3b97ea43a10df8,3,society,DefenderVote,D5QSdd589pFWeJm9bz1j3RTyy14ejKpnUKyEa4GBW9kYkVC
9676073-2,9676073,0x866c397478063eff296f0b896c5c24e9f01d8563527df567ecaee3c30cb96fc1,2,society,DefenderVote,FAXMVgYUWh6s2SFaX9h33mrjXXeq8HTcNwFHEy9D1eimrLK
9675120-2,9675120,0x32506e97c9d587b1ff3dd5dd812caa3fff70694c3e09409e4f055e72bdc3ff8d,2,society,Vote,Dtskg3rQsxSpxxBG4pJYjTujm9fo48Q7qnEYtBfJ6UDqtSS
9675416-4,9675416,0xb1ba0e258d16a5275e7a4381c03655d54708b3d2ab34ed23ba7154905507989b,4,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
9672301-6,9672301,0x5f768dce8d9c6118ddf9d872b8c31d436e5e5a100e235e6af5ab9e900a43a5dc,6,society,DefenderVote,Dab4bfYTZRUDMWjYAUQuFbDreQ9mt7nULWu3Dw7jodbzVe9
9674346-3,9674346,0x85eaad4ca4c7309750f5c4d48c738ae07a47f00a24e88d9e5ea35caca3b4efcc,3,society,DefenderVote,CpLVRWcUd7PxDPSmtXwQC3628dwEYiMd3GbqZTnqvphMN3B
9672297-4,9672297,0x1ecba8bdd154ba868ef728c1274558cbef6ef53d9e77cb66d530ac843d30f3eb,4,society,Vote,Dab4bfYTZRUDMWjYAUQuFbDreQ9mt7nULWu3Dw7jodbzVe9
9670210-2,9670210,0x4cb8f7b2b307706439cd7511389cd959df5b80168dd5f1b923eb0252bcf28c95,2,society,Vote,Gnh63rW5fy3FAbnZQPkajyrQXxQGkg56Waoe2Ede1RjRjrJ
9670206-3,9670206,0xbcb71cfaaf3ad198e188d4b744782eebdab819fb4ab7a4bee4c201b1c40aa16f,3,society,DefenderVote,Gnh63rW5fy3FAbnZQPkajyrQXxQGkg56Waoe2Ede1RjRjrJ
9664436-4,9664436,0xf3f8427a211d410cdeba12abff607431ef1984e51bfad3645500dfcd49e95905,4,society,Vote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
9669348-6,9669348,0xf0194c984117039799aee9051795a254895f3ee771e762f962ef6c215e94684d,6,society,Vote,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
9664430-3,9664430,0x41b0615e063f01013183cdd912cd79b49a5104133d8cbbae9d8b40e23e39653a,3,society,DefenderVote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
9657172-5,9657172,0x95f538370a172412639c764ce1bba2deaade6d94b0488ae1afadf86b7675fb51,5,society,Vote,FypCVBt2MU61ZVL3N6mePXaUXrFX9nvGK6h5yqR89jc6JeW
9653965-3,9653965,0xb8bf176cf1a499688b1a8d68678d34a06dd2048c70336fcba6db6f944a3c5acd,3,society,Vote,FAXMVgYUWh6s2SFaX9h33mrjXXeq8HTcNwFHEy9D1eimrLK
9663525-2,9663525,0xf45bd9cc478f194012454b70341bdfbe5b87f2d74e8db89896599493513f3f7f,2,society,DefenderVote,GczUwD9zRdzJnTCr9kyREURmVeYpZAg1wNWrZMjqqimHcds
9649505-4,9649505,0x99ddead11ca9df8cdbdcede2cd1f9f365e3d0f60a33c837028a164213b2816b0,4,society,Vote,GczUwD9zRdzJnTCr9kyREURmVeYpZAg1wNWrZMjqqimHcds
9649497-6,9649497,0x7d7c2dd95fdbf5308c4814910a68d99c2f8fff11ecb9550ba8500c2176ef83a1,6,society,DefenderVote,GczUwD9zRdzJnTCr9kyREURmVeYpZAg1wNWrZMjqqimHcds
9639885-4,9639885,0xc0fa37bb4f9e65c1acfcbf8e505eecdefaf8beb1cb408e7a67ecd6b2eaf7f015,4,society,Vote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
9645461-4,9645461,0x94e2a0c32d8b063464c4ac5968b19d5935f3d01e6f5cc12d8d042522fc04a673,4,society,Vote,DUxSQ29BxeZWDXin4jZN7ogArgxJDohyeuKsqY83WqPhT4h
9636705-2,9636705,0xafffa7e9c80eaea6a2449fd30d851546c96fb6d8b7247c6067318921d2ff7541,2,society,Vote,EwKBYgaaELEEB5Vm9QAgArinAtps3dRUmb9bwBVTg5HqvxJ
9590400-0,9590400,,0,society,Deposit,
9628585-5,9628585,0x165ecf8fd485ed14c9e0a1cdf88719fedab4d679ced249c5de9e6efdcee3d1a0,5,society,Vote,CpLVRWcUd7PxDPSmtXwQC3628dwEYiMd3GbqZTnqvphMN3B
9576000-0,9576000,,0,society,CandidateSuspended,
9630473-10,9630473,0x45ce9ef7d75a3c21286d46e65a9e0e91d7aa70f1bdbb40cf50c6d0f349af13a2,10,society,Vote,D5QSdd589pFWeJm9bz1j3RTyy14ejKpnUKyEa4GBW9kYkVC
9576000-0,9576000,,0,society,Challenged,
9575973-2,9575973,0x0d44a43e7e0201b05d3782eaf8980e9e12433409ec7475ccf2e7708797caae0e,2,society,DefenderVote,FAXMVgYUWh6s2SFaX9h33mrjXXeq8HTcNwFHEy9D1eimrLK
9575330-2,9575330,0x042a625b8517347a63b9ac17ef9e45cf390ac8660fbd6a96ed0af0c890042aec,2,society,DefenderVote,FUNmzDNdzWtXK51EZmwbDJXQALhcYGCQUeo8E4rtcx9QBX7
