event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7284190-2,7284190,0xdfcc17bae4abc8ff4f0515ae2c0d787e42b826b63a7b0a1eb408da79ac136a62,2,council,Voted,1629Shw6w88GnyXyyUbRtX7YFipQnjScGKcWr1BaRiMhvmAg
7270573-2,7270573,0xb05983e3e735a19e3ebddf4c7fa3378438cb3522bd92e9551f8a291aba081a63,2,council,Voted,1363HWTPzDrzAQ6ChFiMU6mP4b6jmQid2ae55JQcKtZnpLGv
7268300-2,7268300,0xbc48967e6f11b988cba7317c99f168dd5b1f604d1af774a2d8b6b56205896744,2,council,Voted,156JRzU9KzVGvXo4nzxnERNhAjNbrpvZas2TXjW2zueHQHQF
7267219-2,7267219,0x11f152112df5e1a36c4fdc79c8d579024851c57a4ccddd9da1f9cc01a783921c,2,council,Voted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7267175-2,7267175,0x7789dacc4ac7314e0e299db40e3a9a5e9c051c85186ce1f19754f6feb3d41d66,2,council,Proposed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7259360-2,7259360,0x6faff2cf6d46669ea75c01598a5bf7b431231ad2039f88d37d6f3681f62b6c63,2,council,Voted,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud
7257515-2,7257515,0x3d35707c666782d7413a1fdefa7eb8b60d04425ad523e7080dd81ea60a4eed70,2,council,Voted,1629Shw6w88GnyXyyUbRtX7YFipQnjScGKcWr1BaRiMhvmAg
7257504-2,7257504,0xd6b47dc748294a850302570cccd496033184f7992fb1ecab0c982776d8cd5c84,2,council,Voted,156JRzU9KzVGvXo4nzxnERNhAjNbrpvZas2TXjW2zueHQHQF
7257366-2,7257366,0xb23320938f871d2a204c89d7a7346e1fd442e6cd1d7b33e86011e5578378b686,2,council,Voted,14mwSGdhdrAA3pGoKSX1tWguFREswWucAsr7kcHbdsf7fU7Q
7256783-2,7256783,0x1418f451818d29195cb91bfef9cbd406eaef7f8f344882fa21f9e47942707157,2,council,Voted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7256715-2,7256715,0xbb85013bd339e0388128e80bbbc5537c11573cbcb0e0289df08729273c3727a8,2,council,Proposed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7243388-2,7243388,0xeb089e17f0ab5efba1c4bf7207dc3b47ff621641253ce7df0e74b27d1600d674,2,council,Closed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7243388-2,7243388,0xeb089e17f0ab5efba1c4bf7207dc3b47ff621641253ce7df0e74b27d1600d674,2,council,Approved,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7243388-2,7243388,0xeb089e17f0ab5efba1c4bf7207dc3b47ff621641253ce7df0e74b27d1600d674,2,council,Executed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7243381-2,7243381,0xcb4acb7e83122fcb98d71fd342f3ae80de8596d97d2f95fe8f55b50f648cbcbc,2,council,Voted,15coutGrEzX2Dt9hnccGUftmazwST59cTZ2xMNJBPQ8JSncd
7243340-2,7243340,0xf57cb4821db2c417299a1e4e8c2c4b68ffe38dfa58bd2c74dabd65147c939f17,2,council,Voted,167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h
7243340-3,7243340,0x9c484d26fa02caa29428d1b617214953e416bc6ac8f79214a596f761b3c9be69,3,council,Voted,1363HWTPzDrzAQ6ChFiMU6mP4b6jmQid2ae55JQcKtZnpLGv
7243330-2,7243330,0x2dfbe7250be827ba4707f3b266ce2e1b619fc4ffaa58b6509736a07c26614b8f,2,council,Voted,14mwSGdhdrAA3pGoKSX1tWguFREswWucAsr7kcHbdsf7fU7Q
7243321-2,7243321,0xf79da7148c28b932dbac7f15819a7531d008444e6e3f7451ed63cc845881fc31,2,council,Voted,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud
