event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7273721-3,7273721,0xe2d48109f823cb781acc9c94934e5371eb01a47444d19013776b0f4776738c10,3,democracy,Delegated,14tcxHSTAiZf7M4vcLfFdGkGJFjfx6zDqds5QVyz2H24hKgG
7273554-3,7273554,0x4191d7627abe3aca5981804ac0e6f3a2976f0f773437c26a0dea4357483ea174,3,democracy,Delegated,14tcxHSTAiZf7M4vcLfFdGkGJFjfx6zDqds5QVyz2H24hKgG
7262073-3,7262073,0xdfbd49a82e2da0fedf87dfdc8c45019dae6e5a8a769b55ce3aff999f4170434f,3,democracy,Delegated,12YdCZbmsxFHAnt4Fmh6LpWpKmLFmdfspUFWPH76939MufeW
7262070-5,7262070,0x24cdd3082993a048cf9df4f6e8d3a0a77cfc5e4dfc8527d4c350988fb852dfd4,5,democracy,Delegated,13Umvr53CRhUWsUkR9Uw3KAY4p7LnwkjK3UWvSH955MqoHkc
7262066-5,7262066,0x4868b611fcc0f9f609bd80ee2fd2d057795dbc8f155f1cfd51c0a483ea397fae,5,democracy,Delegated,14hM4oLJCK6wtS7gNfwTDhthRjy5QJ1t3NAcoPjEepo9AH67
7257600-0,7257600,,0,democracy,Tabled,
7257600-0,7257600,,0,democracy,Started,
7257600-0,7257600,,0,democracy,NotPassed,
7248131-2,7248131,0x5760d836620b367646a9b77618a0172192d13546a96b440b8f342e862cac5468,2,democracy,Undelegated,13mEqy4U11cjiqZFGQagXX2eKg1Re9wXAtdk8tQix7EnC4kB
7246214-5,7246214,0x49bb646c7f1fa9ea40649de9a5ff7cf24805c76ed7857ea555476f8624cfbeb2,5,democracy,Delegated,14N5nJ4oR4Wj36DsBcPLh1JqjvrM2Uf23No2yc2ojjCvSC24
7245927-4,7245927,0x4755a934f41d0086b437be26048705b9d6020db967a8da4d9d630ba70e388b83,4,democracy,Undelegated,16AsMBmXZZozMczKidYzZC3UCZECpMxV5VmnShAWwuGrZEvv
7244481-5,7244481,0x658868a321322d8ec7ad132cda70cf9d4d0520771dc14002cbc4f5450a14edb8,5,democracy,Undelegated,14DH67YwZ7UnuMkVjoqpT8b8WZZjEkhg6KUPBZfE7JrcHP29
7244473-11,7244473,0x3950cf43fa706faf43f05cae2ce27a0466b14fc713942f04f2e37ba0b108e875,11,democracy,Undelegated,1488HHCrUNBkoGf5GrsyDeFJpfKbV1wGv9a1zgyMePHtqQiR
7244431-6,7244431,0x02ef882cff9aec8b385669173fb62ead2b9a533a39db8044735f9511a7d4ca19,6,democracy,Undelegated,123agzjVV6V217nGNr8nQcaVi7hqEVZVU5VvPsn9oYwVDiAx
