event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7266867-3,7266867,0x15781d014aae0a3d9a21ed9080d836d5c598e000ac28cb2f6c3eeb212ae7bffb,3,treasury,Proposed,12mRyiCp9zdh1wEVW5gLLiFBxDPKks72rRXmSupyEK3VAMLf
7254485-4,7254485,0x787550783a58c0eae331e8b5f3f2ce34ea5bfee5cf7c4ca4b4d3ad007d925cdf,4,treasury,Proposed,13EAhGcpe93mqSFZQrQ4P2cfpdAo5txWc5UQVTfEKDoqZjhw
7041165-2,7041165,0xf4d518265240a602b3b39f8956e47d78fef834c7e8e87b9c577a8a94a2c098f6,2,treasury,Proposed,16P5hTGEMLMh49rbeHLtuncqPdkLEPoRAVtSTo4g6KJapKSN
6909278-1,6909278,0x4be4b31ca568b12b5e3599a9d04ba5939c111b8bc28c85b4b9f7c10d9c069aa7,1,treasury,Proposed,1ZUG7957Gfidjgm6sg4EZfFtKpJLXSWDRY7o5d1JGKJLoMM
6836327-1,6836327,0xa0ec0e7d605a1deabe7552cb4f53dca08b33d57dcb008e96fb26df28c5426dd8,1,treasury,Proposed,14RYaXRSqb9rPqMaAVp1UZW2czQ6dMNGMbvukwfifi6m8ZgZ
6631177-4,6631177,0xc9b1b2859462cc0f3d61ff722fcf0bdeb61a0db1eef107db8791ec637d70fc7f,4,treasury,Proposed,149FXUmHgg75z4sk2LzFDyctNLHhzf2YxGMFHT7TakkbeQ7F
6405750-1,6405750,0xef888d6bb61536217ef234bcaa081231e65e5e92e9d8e67303ccdc95af65102d,1,treasury,Proposed,16kkgkzjyJZL91WaL6GAUJnTZjiaowZcFyHAs5GWCNVqJimJ
6249780-1,6249780,0xbe24ef9704d40a479c01e8b433a2692aa3f3ea4da617a4448b3da9f94116447b,1,treasury,Proposed,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh
6219716-1,6219716,0xe0b0b6f49b3083994298a202a59756578cde3736e9865ae856e6c13212ede943,1,treasury,Proposed,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv
6132007-1,6132007,0x5b70f62c13b7092ff958cb4047a6b6b1ffb66e6ec98a166a1ae98ad01cb48a16,1,treasury,Proposed,158fp6BNaiUF6G13EFeeditNz2YVQeMtY68M6D4pEqqCgrdC
